화이자 백신은 1차보다 2차 접종 시 부작용이 심했다 .	VACC-B O O O O O O O O
백령도나 대청도 등 섬에서 응급 환자가 발생하면 해경 헬기 등을 타고 육지 병원으로 나올 수 있지만 A씨는 이용하지 못한 것으로 알려졌다 .	O O O O O O O O O O O O O O O O O O O O O O
코로나19 백신 이상반응으로 중환자실에 입원했지만 지금은 정상 생활하고 있어요 .	O O O O O O O O O O
질병관리청에 따르면 코로나 백신 예방접종을 시작한 지난 2월 26일부터 이달 25일까지 신고 접수된 이상반응 건수는 26만74건에 달했다 .	O O O O O O O O O O O O O O O O O O
대한소아청소년과학회는 “이미 ‘예방접종 피해 보상 심의’를 위한 전문 기구인 예방접종피해보상 전문위원회가 감염병 예방관리에 따른 법률 조항에 근거하여 만들어져 있다”며 “이상반응과 백신의 인과성 여부에 대해서는 예방접종피해보상 전문위원회에서 과학적 근거를 바탕으로 중립적인 입장에서 판단하고 있기 때문에 새로운 법 조항이 필요하지 않다”고 지적했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
코로나19 백신 접종자가 1000만명을 넘어서면서 백신보험에 대한 관심도 높아지고 있다 .	O O O O O O O O O O O
최근 서울대학교 보건대학원 코로나19 기획연구단이 발표한 코로나19와 사회적 건강 3차 조사 결과에 따르면 국민 10명 중 7명은 백신을 접종하겠다고 밝혔지만, 백신 안전성에 대한 질문에는 10명 중 4명만이 안전하다고 봤다. (성인 남녀 1000명 대상, 표집오차 95% 신뢰 수준에서 ±3.1%) 코로나19 치료제가 없는 현 상황에서 백신은 맞겠지만, 백신에 대한 불안감은 크다는 해석이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
혈소판감소성 혈전증은 우리나라에서 현재까지 2건이 확인된 희소한 질환으로 의사의 진료를 통해 조기에 발견하고 적절히 치료하면 회복 가능한 질환이다 .	O O O O O O O O O O O O O O O O O O O
그러나 시민들의 불안감은 여전하다 .	O O O O O
7일 기준으로 청원만료 하루를 앞둔 코로나 백신 화이자 2차 접종 후 다음날 사망글에는 5만 8,800여 명이 청원에 동의했다 .	O O O O O O O VACC-B O O O O O O O O O O O
코로나19 백신을 맞고 부정출혈(하혈)을 겪는 여성들의 경험담이 잇따라 온라인 상에 올라오고 있다 .	O O O SYMP-B O O O O O O O O O
국내에선 얀센 백신을 접종받은 사람들 사이에서 머리카락이 자라는 ‘부작용’ 사례에 대해 논란이 있었지만, 근거가 없는 것으로 정리됐다 .	O VACC-B O O O O O O O O O O O O O O O O
국가의 사과도 필요하다 .	O O O O
접종부위통증 두통 피로감 같은 부작용은 이를 예상했던 사람에게 나타날 가능성이 예상하지 않았던 사람보다 훨씬 컸다고 연구팀은 설명했다 .	SYMP-B SYMP-B SYMP-B O O O O O O O O O O O O O O O
백신 주사 직후 사망 사건의 경우 적어도 2억원 정도의 보상이 필요하다고 생각한다 .	O O O O O O O O O O O O O
장애의 경우 장애진단을 받은 날부터 5년 이내, 사망의 경우 사망한 날부터 5년 이내에 신청하셔야 됩니다 .	O O O O O O O O O O O O O O O O
한편 지난달 31일 청와대 국민청원 홈페이지에는 ‘여성부정출혈(하혈)을 코로나 백신 부작용으로 신고 할 수 있도록 해주세요’란 제목의 글이 올라왔다 .	O O O O O O SYMP-B O O O O O O O O O O O O
이 여성은 자신의 블로그에 모더나 백신 접종을 시작으로 탈모가 진행된 상황을 날짜별로 기록했다 .	O O O O VACC-B O O O DIS-B O O O O O
약 50만명이 참여했다 .	O O O O
온라인상에 백신 접종 후 생리 불순 또는 부정출혈 증상을 겪었다는 후기 글이 꾸준히 올라오고 있다 .	O O O O SYMP-B SYMP-I O SYMP-B O O O O O O O O
A씨는 2차례 심폐소생술을 받았고 3번째 심정지가 온 끝에 결국 숨졌다 .	O O O O O SYMP-B O O O O O
이 커뮤니티에서는 백신 접종자가 구충제 이버멕틴이나 솔잎차, 비타민 C와 D를 섭취해 독소 배출을 차단해야 한다거나 백신 접종을 한 후 한의원에 가 피를 뽑아내야 한다는 글까지 확산되고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이 중 아스트라제네카와 얀센이 기존 백신에 사용되던 바이랄 백터 방식으로 개발됐고, 화이자와 모더나가 새로 적용된 mRNA 방식을 채택했다 .	O O VACC-B VACC-B O O O O O O O VACC-B VACC-B O O VACC-B O O O
이와 관련 미국 질병통제예방센터(CDC)도 백신이 여성의 생리에 영향을 미칠 수 있는지 조사했고, 백신 접종으로 불규칙한 생리 이상의 부작용은 걱정할 필요가 없다고 결론냈다 .	O O O O O O O O O O O O O O SYMP-B SYMP-I O O O O O O O
청원인 A씨는 아버지가 지난 9월 17일 얀센 백신을 맞고 10월 10일 57세 나이로 세상을 떠났다고 밝혔다 .	O O O O O O VACC-B O O O O O O O O O O
해당 게시글에는 생리 주기가 아닌데도 하혈이 빈번히 발생한다 .	O O O O O SYMP-B O O O
또, 정혜진 원장은 (부항을)그걸 하면 되게 백신 흡수율이 좋아질 거 같다며 한의학적으로 (부항이) 상처부위를 손상시켜서 일부러 염증을 일으켜 조금 더 빨리 낫게 원리라고 한다면 주변에 혈류량이 많아져 낫는 과정에서 (백신을) 더 빨리 흡수하게 되는 거 아닌가 이런 생각이 든다고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
연구팀은 mRNA 백신 접종 후 3~6주 동안 건강조사 결과를 분석했다 .	O VACC-B O O O O O O O O O
A씨는 접종 4일 뒤인 지난달 30일부터 왼쪽 등의 뻐근함과 가슴 통증 등을 호소했다 .	O O O O O O O O SYMP-B SYMP-B SYMP-I O O O
해외 주재원인 A씨는 지난 5월 회사의 지원으로 현지에서 코로나 백신을 맞은 뒤 기절 등 증상이 나타나 병원에 입원해 스테로이드 주사 치료를 받아야 했던 것이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O
최근에는 심근염이나 심낭염의 위험이 드물게 있고, 심장이 빠르게 뛰거나, 두근거리는 느낌이 있는 경우 의사의 진료를 받는 것을 권고하고 있다 .	O DIS-B DIS-B O O O O O O SYMP-B O O O O O O O O O O
최 교수는 우리가 가장 흔하게 경험하는 반응 원성(Reactogenicity)은 우리 몸 안에서 백신을 접종하게 되면 면역 반응이 염증 반응과 유사하게 경험되어 발열 근육통 통증을 유발하게 되는 것이라며 이 경우 잘 쉬고 접종 부위를 차갑게 하는 것이 도움이 되며, 전신 발열이나 근육통이 생기면 해열 진통제를 사용하는 것이 좋다라고 말했다 .	O O O O O O O O O O O O O O O O O O O O SYMP-B SYMP-B O O O O O O O O O O O O O O O O SYMP-B SYMP-B O O O O O O O O
다만 현지 의사들은 생리불순 등의 부작용은 걱정할 정도가 아니며, 백신을 맞지 않을 이유는 되지 않는다고 설명했다 .	O O O SYMP-B O O O O O O O O O O O O O
그러나 16일 질병관리청의 발표에 의하면, 총 10부제 중 6부제까지의 백신예약률은 60.2%에 불과한 것으로 나타났다 .	O O O O O O O O O O O O O O O
이 글에서는 여성들이 백신 접종 후 생리 주기가 아닌데도 부정출혈이 발생하는 사례가 빈번히 발생하고 있다며 그런데 백신 부작용으로 신고조차 받아주지 않아 답답한 현실이라며 여성에게는 하혈은 가장 공포스러운 일인데도 병원에 가면 피임약을 처방해주거나 타이레놀을 복용하라는 말만 듣는다고 지적했다 .	O O O O O O O O O SYMP-B O O O O O O O O O O O O O O SYMP-B O O O O O O O O O O O O O
백신보험은 백신 부작용 중 하나인 아나필릭시스 쇼크 발생 시 보험금을 지급하는 상품이다 .	O O O O O DIS-B DIS-I O O O O O O
예방접종피해조사반은 지난 23일까지 총 31차례 회의를 개최해 코로나19 백신 예방접종 후 발생한 중대한 이상반응 신고사례에 대한 인과성을 평가했다 .	O O O O O O O O O O O O O O O O O O O
전문가는 코로나19 백신을 개발하는 데 있어 시간적 여유가 부족했다고 지적했다 .	O O O O O O O O O O O
이어 의사에게 몸에 알레르기 등 기저질환도 없고 탈모도 처음이라고 했더니, 백신과 관련성을 입증하기 어려울 수 있다며 우선 갑상샘 검사를 해보라고 의뢰서를 써줬다면서 탈모 범위가 넓어서 주사를 28방 맞았고, 일주일 뒤 추가로 38방이나 맞았는데도 머리카락이 더 빠져 미치는 줄 알았다고 하소연했습니다 .	O O O SYMP-B O O O DIS-B O O O O O O O O O O O O O O DIS-B O O O O O O O O O O O O O O O O O O
직장인 윤모(31)씨는 지난달 중순 잔여백신으로 화이자 1차 접종을 한 이후 생리불순을 겪었다고 한다 .	O O O O O VACC-B O O O O SYMP-B O O O
아나필락시스(Anaphylaxis reactions)는 특정 항원에 반응하는 급성 전신 알레르기 질환이다 .	O O O O O O O SYMP-B O O
20대 아들이 화이자 백신 2차 접종 후 이틀 만에 숨졌다는 부모의 호소가 청와대 홈페이지 국민청원 게시판에 올라왔다 .	O O VACC-B O O O O O O O O O O O O O O O
또 무료보험으로 가입을 유도해 고객 개인정보 수집하는 사례도 있어 주의가 요구된다 .	O O O O O O O O O O O O
코로나19 백신 후유증을 호소하는 사례는 또 있었다 .	O O O O O O O O
이어 “근육에 인젝션(직접 주사하는) IM 방식이기 때문에 (주삿바늘을) 찌르는 즉시 다 퍼지기 시작한다”고 설명했다 .	O O O O O O O O O O O O O O O
정부가 코로나 백신의 효과를 지속해서 발표하고 있음에도 여전히 부작용 때문에 백신 접종이 불안하다는 사람이 많다 .	O O O O O O O O O O O O O O O O
한 보험업계 관계자는 “정부가 국민들의 코로나19 백신 접종을 적극 권유하고 있지만 부작용 사례에 대해서는 함구하고 있다”며 “정부 차원에서 보상 가이드라인이 정해져야 보험사에서도 보상 기준을 단순 아나필락시스 쇼크 진단 여부에 그치지 않고 상해와 재해 등으로 카테고리를 명확하게 설정할 수 있을 것”이라고 설명했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O DIS-B DIS-I O O O O O O O O O O O O O O O
질병관리청으로부터 백신접종 예약 가능 문자를 받은 고객이 링크를 통해 사전예약하고 토스로 알림받기를 선택하면 무료 보험 혜택을 받을 수 있다 .	O O O O O O O O O O O O O O O O O O O O
B군은 담임 선생님과 상담시간에 속이 좋지 않다고 얘기했고, 선생님의 권유로 응급실에 가던 중 갑작스런 쇼크가 발생했던 것으로 전해졌다 .	O O O O O O O O O O O O O O SYMP-B O O O O
그러나 증세가 호전되지 않았고 다른 병원을 찾아간 B씨는 중추신경계 이상 소견으로 급성 횡단성 척수염 진단을 받았다 .	O O O O O O O O O O O O DIS-B DIS-I O O O
클랜시 교수는 최근 트위터를 통해 NIH에 보조금을 신청했지만 연구비를 받지 못했다고 아쉬움을 드러냈다 .	O O O O O O O O O O O O O O
코로나 백신보다 더 중요한 내 몸의 천연 백신을 만들기 위한 방법을 소개한다 .	O O O O O O O O O O O O O
이미 2차 접종 후 고열과 전신에 극심한 근육통으로 고통 받았다는 지인들의 이야기를 들으면 걱정이 앞선다 .	O O O O O O O O O O O O O O O O
◆ 김유미 사무관(이하 김유미): 네 안녕하세요 .	O O O O O O O
한국교원단체총연합회는 이날 성명을 내고 교원 백신 부작용 신속 대응 및 지원 체계를 마련할 것을 촉구했다 .	O O O O O O O O O O O O O O O O
EMA는 또 얀센 백신과 다국적 제약사 아스트라제네카 백신의 제품 정보에 혈소판감소증을 ‘빈도가 알려지지 않은 이상 반응’으로 올리라고 권고했다 .	O O VACC-B O O O VACC-B O O O DIS-B O O O O O O O O
우리 아이가 이렇게 되는 동안 아무것도 못해준 부모 책임”이라며 “책임을 통감하고 하염없이 소리 없는 울음을 흘리고 있다 .	O O O O O O O O O O O O O O O O O O
AFP통신에 따르면 미국 질병통제예방센터(CDC)는 백신 접종 초반 의료진과 코로나19 대응 일선 노동자 등에 대해 우선 접종이 이뤄진 시기부터 모더나의 실제 효능을 분석해 온 결과를 발표했다 .	O O O O O O O O O O O O O O O O O O VACC-B O O O O O O O
다만, 김 교수는 코로나19 백신 접종 후 심근염과 심낭염 등의 부작용이 발생할 때 사망자는 10만명에서 100만명당 1명이 나오는 꼴이라며 백신 접종에 주저함이 없어야 한다고 강조했다 .	O O O O O O O DIS-B DIS-B O O O O O O O O O O O O O O O O O
질병관리청에서는 이런 증세들은 대부분 가라앉지만, 하루가 지나도 주사 받은 부위에서 발갛게 부어오른 것이나 감각 이상이 가라앉지 않고 되레 커질 때나 흉통, 마비 등의 증세가 생기면 곧바로 병원을 찾을 것을 권고하고 있다 .	O O O O O O O O O O O O O O O O O O O O SYMP-B O O O O O O O O O O O
한국대학교수협의회(한교협)은 20일 “최선의 방역이 백신이라는 점에서 19일부터 시작된 고3 화이자 백신 접종은 늦었지만 그나마 다행이지만, 고3 백신 부작용 모니터링 대책을 마련할 것을 강력히 요구한다”고 밝혔다 .	O O O O O O O O O VACC-B O O O O O O O O O O O O O O O O
얀센의 우한코로나(코로나19) 백신 접종 시 발생 가능한 부작용이 추가로 발견돼 미국 식품의약국(FDA)이 곧 새로운 경고 메시지를 내놓을 것이라고 미국 언론이 전했다 .	O O O O O O O O O O O O O O O O O O O O O O
이건 누가 책임을 져야하나요 .	O O O O O
이후 고열과 두통 등 증세를 보인 B씨는 같은 달 15일부터 얼굴과 전신에 피부 발작이 번지고, 근육경련까지 일어나 광주의 한 종합병원에서 치료받았다 .	O SYMP-B SYMP-B O O O O O O O O O SYMP-B SYMP-I O SYMP-B O O O O O O
기저질환이 있다면 접종하러 가는 자체가 신체에 부담이 될 수 있으므로 보호자의 도움을 받는 것도 좋겠습니다 .	O O O O O O O O O O O O O O O O
혈소판감소성 혈전증은 국내에서 현재까지 2건이 확인된 희소한 질환이다 .	DIS-B DIS-I O O O O O O O
Q. 기저질환이 있어서 백신 접종을 망설인다	O O O O O O
A씨는 이어 아버지의 패혈증 증세는 호전됐으나 또 다른 증상이 나타났다면서 아버지가 갑자기 다리에 감각이 없고, 손이 저리다고 하시고 머리도 자꾸 아프다고 하셔서 또 검사하니 처음엔 뇌수막염이라더니 이젠 횡단성 척수염 상하반신 마비라고 한다고 했다 .	O O O DIS-B O O O O O O O O O SYMP-B SYMP-I O SYMP-B O O O O O O O O O O DIS-B DIS-I DIS-B DIS-I O O O
당사자인 A(28) 씨는 지난 6월 모더나 백신 1차 접종 후 탈모 부작용을 호소해왔다 .	O O O O O VACC-B O O O O DIS-B O O O
기존에는 백신으로 인한 부작용과 기저 질환으로 인한 합병증의 가능성이 비슷한 경우 백신 부작용으로 인정했다 .	O O O O O O O O O O O O O O O
이어 #화이자후기 1차를 맞고 나서는 멀쩡한 듯했는데 2주 뒤부터 이상반응이 동시다발적으로 몰려오기 시작했어요.!	O O O O O O O O O O O O O
이어 “여성에게는 하혈은 가장 공포스러운 일인데도 병원에 가면 피임약을 처방해주거나 타이레놀을 복용하라는 말만 듣는다 .	O O SYMP-B O O O O O O O O O O O O
현재까지 15만명 이상이 참여한 것으로 알려졌다 .	O O O O O O O
백신 접종 후부터 가슴 통증을 지속적으로 호소했고, 저희 가족은 백신 접종으로 인한 사망이라고 생각할 수 밖에 없다고 말했다 .	O O O SYMP-B SYMP-I O O O O O O O O O O O O O O
그는 “(접종당일) 생리주기보다 5일 일찍 생리가 시작했다”며 “(접종 2일차엔) 생리양이 평소보다 너무 많고 생리통이 평소보다 너무 심했다”고 했다 .	O O O O O O O O O O O O O O O O O O O
여기에 최근 월경 장애 항목도 별도로 추가됐다 .	O O SYMP-B SYMP-I O O O O
코로나 백신을 접종한 일부 여성들이 생리불순과 부정출혈 등 이상 반응을 호소하는 것으로 나타났다 .	O O O O O SYMP-B SYMP-B O O O O O O O
일반 쇼크 진단 보험은 126원~150원 가량인 반면, 응급진단 시 보험료는 10~20원 수준이다 .	O O O O O O O O O O O O O
백신 접종 후 이상반응 중증환자에 1일 5만원 간병비 지원 코로나19 예방접종대응추진단은 백신 접종 후 이상반응이 발생했지만, 백신과 인과성이 확인되지 않은 중증환자에 피해보상금으로 하루 5만원 범위의 간병비를 지원하기로 했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
다만 1차 접종 후에 아나필락시스 반응이 나타났다면 2차 접종은 피해야 하고 그 외 중대한 이상 반응이 나타난 경우에도 의료진과 상담을 통해서 접종 여부를 결정해야 합니다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
공동체 식사 시간에 함께 밥을 먹을 때나, 혼자 마당에 있을 때나 해맑은 표정을 자주 보게 됩니다 .	O O O O O O O O O O O O O O O O O
후유 장애에 대해선 산업재해 보상 규정을 준용하는 게 어떨까 싶다 .	O O O O O O O O O O O
가장 일반적인 부작용은 국소 통증(93%)이었고, 그 다음 흔한 부작용은 피로(81%), 근육통(79%), 두통(62%) 순이었다 .	O O O SYMP-B SYMP-I O O O O SYMP-B SYMP-B SYMP-B O O
은병욱 교수는 “국내 소아청소년 접종 시작 후 2주 이내 사망한 환자는 총 2명이지만 인과관계가 아직 밝혀지진 않았고, 고3 학생군에서 심근염 심장염 증상을 호소한 환자가 약 16명인데 이는 해외 통계인 10만명 당 4.5명 수준과 빈도가 비슷하다”고 설명했다 .	O O O O O O O O O O O O O O O O O O O DIS-B DIS-B O O O O O O O O O O O O O O O O
보고서는 코로나19 백신의 감염 예방 효과가 완만하게 감소한다는 점을 시사하지만 감염 위험을 66% 줄인다는 것만으로도 백신 접종의 중요성과 이점을 보여준다라고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O
청원인은 결국 아버지는 심근경색 판정을 받아 지병으로 결론 내려졌다면서 아버지는 화이자 백신을 접종하기 전까지 관련 증상이 전혀 없으셨다 .	O O O DIS-B O O O O O O VACC-B O O O O O O O O
정말 후회된다고 호소했다 .	O O O O
코로나19 예방접종대응추진단에 따르면 지난 4일부터 전날까지 백신을 맞은 뒤 이상반응이 의심된다며 보건당국에 신고한 신규 사례는 총 7327건이라고 밝혔다 .	O O O O O O O O O O O O O O O O O O O
이어 (병원에서) 하루 이틀만 늦었어도 큰일 날 뻔했다더라며 패혈증 진단받아서 신속히 치료해 증세는 호전됐는데 갑자기 다리에 감각이 없고 손이 저리다고 하시고 머리도 자꾸 아프다고 하시더라 .	O O O O O O O O DIS-B O O O O O O O O O O O O O O O O O
이외에도 카페에선 많은 의료진과 관련 공무원들이 힘드신 상황을 알지만, 이상반응시 찾아가서 응급조치를 받을 수 있는 병원 네트워크에 대해서도 대책 마련을 부탁드린다고 호소하는 글도 찾아볼 수 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
추석 이후에 접종 일정이 잡힌 대상자들의 경우 추석 전으로 앞당길 수 있고, 예약을 하지 않은 사람도 추석 전 접종 예약을 할 수 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O
라이나다이렉트 모바일에서 가입할 수 있다 .	O O O O O O
백신 접중 후 나타나는 부작용은 우리 몸이 정상적으로 면역력을 구축하고 있다는 증거로도 활용된다 .	O O O O O O O O O O O O O O
해당 백신은 30세 이상 예비군과 민방위대원, 군 관련 종사자가 접종 받는다 .	O O O O O O O O O O O O
금감원 관계자는 “보험사나 제휴업체가 무료보험이라고 홍보하더라도 이는 개인정보를 제공한 대가일 수 있음을 유의해야 한다”면서 “아나필락시스는 음식, 약물, 곤충 등 다양한 원인에 의한 알레르기 반응이므로 이에 대한 보장이 필요한 경우 가입하시기 바란다”고 말했다 .	O O O O O O O O O O O O O O DIS-B O O O O O O O O O O O O O O O O O O
화이자 제품과 함께 우리 국민이 가장 많이 맞은 백신인 모더나 제품 또한 제조회사가 직접 다른 백신보다 심근염 발생 위험이 높다고 인정해 논란이 일고 있다 .	VACC-B O O O O O O O O VACC-B O O O O O O DIS-B O O O O O O O O
길랭-바레 증후군 은 감염 등에 의해 몸 안의 항체가 말초신경을 파괴하면서 근육 약화나 마비를 일으키는 신경계 질병이다 .	DIS-B DIS-I O O O O O O O O O O O O O O O O
사람마다 다른 듯해요라고 털어놨다 .	O O O O O
캐롯손보는 티맵모빌리티와 함께 코로나19 백신 접종 고객을 대상으로 캐롯 아나필락시스 안심 보험 무료 이벤트를 진행하고 있다 .	O O O O O O O O O O O O O O O O O
유럽의약품청(EMA)은 최종보고를 통해 AZ백신 접종에서 TTS가 매우 드문 부작용으로 연관성을 인정했으나, 영국에서 100만명당 9.5건(5월 20일 기준), EU에서 10건(4월 16일)일 정도로 낮은 건수가 확인됐다 .	O O O VACC-B O DIS-B O O O O O O O O O O O O O O O O O O
라이나생명 조사에 따르면, 예비군·민방위 대상 얀센 백신 사전 예약을 시작하면서 30대 남성의 백신보험 가입 비율이 증가했다 .	O O O O O VACC-B O O O O O O O O O O O
B씨는 지난 3월12일 사회적 필수 요원으로 분류돼 AZ 백신을 접종했다 .	O O O O O O O VACC-B O O O
이날 국감에서는 보건복지부와 질병관리청이 피감기관으로 참여했다 .	O O O O O O O
보험사별로 미니보험 형태로 내거나 종합보험 또는 건강보험 특약 형태로 추가되어 선택 폭도 넓어지고 있다 .	O O O O O O O O O O O O O O O
그러나 급성 심근염이 회복되지 않고 심부전 및 사망에 이르는 경우도 있다 .	O O O O O O O O O O O O
이 특약도 최대 200만원까지 보장이 가능하며 40세 남성 1급 기준 보험료는 월 140원이다 .	O O O O O O O O O O O O O O
코로나 백신 접종 이상반응에 따른 국가 보상. 사진/포럼 유튜브 생중계 갈무리 정부는 코로나 백신 예방접종과 피해 이상반응이 일어나는 경우 치료비를 지원하고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O
해당 남성은 백신 접종 후 지난 9일 심한 두통이 나타나 의료기관 방문치료를 하였으며, 그 후에도 두통이 계속된 가운데 같은 달 12일 경련이 동반돼 입원 치료를 받았다 .	O O O O O O O SYMP-B SYMP-I O O O O O O SYMP-B O O O O O SYMP-B O O O O O
즉, 백신 부작용 정도로 백신 효과를 짐작할 수 없다는 의미다 .	O O O O O O O O O O O
다만 백신 접종 후 수 하혈이 계속되는 등 생리불순 증상이 우려할 수준이라면 전문의 상담을 받아야 하며, 특히 이미 폐경한 여성에게 하혈 증상이 나타났다면 반드시 병원을 찾으라고 조언했다 .	O O O O O SYMP-B O O SYMP-B O O O O O O O O O O O SYMP-B O O O O O O O
하지만 화이자 백신 접종 후 아세트아미노펜 성분 약은 안되고 이부프로펜 성분 약만 된단 말은 맞지 않다고 말했다 .	O VACC-B O O O O O O O O O O O O O O O O
한편 앞서 지난달에도 평소 건강하던 고등학교생 아들이 코로나19 백신 접종 후 백혈병을 판정 받았다는 코로나 백신 부작용 국민 청원이 소개됐다 .	O O O O O O O O O O O DIS-B O O O O O O O O O
또한 모더나 백신을 맞은 뒤 급성 골수성백혈병 진단을 받고 사망했다는 사례가 신고돼 방역당국이 조사를 시작하기도 했다 .	O VACC-B O O O O DIS-B O O O O O O O O O O
급성뇌출혈이고 발작증세가 심하다고 했다 .	DIS-B SYMP-B O O O
이렇게 하는 근거는 접종자와 미접종자 사이에서 중증화율이나 치명률이 차이가 워낙 크기 때문이라며 다만 현재 여러 검토를 하고 있는 상황이고 아직 완전히 구체적인 안이 나왔다고 보기 어렵다고 설명했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
우선 피해보상 종류에는 진료비·간병비·장애인이 된 사람에 대한 일시보상금·사망한 사람에 대한 일시보상금·장제비가 있습니다 .	O O O O O O O O O O O O O
질서가 붕괴되면 나라가 바로 설 수 없다 .	O O O O O O O O
A씨는 뇌 관련 검사를 마친 뒤 심장 쪽 검사를 앞두고 있었으나, 8일 오전 3시41분께 돌연 숨졌다 .	O O O O O O O O O O O O O O O O O
그러나 전문가들은 중증 부작용이 아니라면 예정된 2차 접종은 맞아야 한다고 강조했다 .	O O O O O O O O O O O O
혈소판감소성 혈전증 은 코로나19 백신 접종 후 발생하는 이상 반응 중 하나다 .	DIS-B DIS-B O O O O O O O O O O O
해당 게시글에서 청원인은 지난달 25일 아침 여느 때와 다를 바 없이 등교했고 하굣길에 예쁘게 머리를 자르고 오겠다던 아들이 학교에서 몸 상태가 악화됐다며 선생님의 권유로 응급실에 가던 중 쇼크가 발생했고 응급실에 입원한 지 2일만에 세상을 떠났다고 썼다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O SYMP-B O O O O O O O O O
신문은 “이번 경고는 얀센 백신에 타격을 줄 것”으로 전망했다 .	O O O VACC-B O O O O O O
미국 일리노이대 연구진은 백신 접종 이후 생리 이상 증상을 겪은 여성 14만 여명의 사례를 모아 보고서를 작성했다 .	O O O O O O SYMP-B SYMP-I O O O O O O O O O O
서울대 의료백과에 따르면, 다리 말초신경부터 손상이 일어나며, 2~3주 동안 몸 하체부터 시작해 상체까지 근력이 급속히 약화한다 .	O O O O O O O O O O O O O O O O O
mRNA 계열의 백신을 맞은 뒤 가슴 통증, 호흡 곤란, 실신 등의 증상을 보일 경우 심근염 및 심낭염을 의심할 수 있다 .	VACC-B O O O O SYMP-B SYMP-I SYMP-B SYMP-I SYMP-B O O O O DIS-B O DIS-I O O O O
이어 “본인의 꿈을 위해 공부에 한창이던 이제 23살 밖에 안 된 아이”라며 “CPA 1차 합격하고 내년 봄 2차 합격을 위해 군 복무 중에도 공부에 또 공부를 하던 아이”라고 하소연했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
해외 각국은 백신 부작용을 우려해 10대 등 청소년 백신 접종에 매우 신중을 기하고 있는데다 관련 부작용을 공개하고 있는 만큼, 백신 부작용을 지속적으로 모니터링해 적응 대응해야 한다는 지적이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
그런데도 백신 보험이라는 이름으로 뭉뚱그려 판매가 되고 있는 것이다 .	O O O O O O O O O O
홍정익 질병관리청 예방접종과장은 최근 교회 집단 감염에서 접종자만 안 걸렸다거나, 가족 내 집단 발병에서도 감염을 피했다는 사례가 보도되며 접종 의향이 많이 증가했다고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O O O
아울러 해외 각국은 혹시나 발생할 수 있는 백신 부작용을 우려해 10대 등 청소년 백신 접종 매우 신중을 기하고 있다 .	O O O O O O O O O O O O O O O O O O O O
질병관리청은 백신과 혈전의 인과관계를 명확히 설명하고 있지 않지만, 백신 접종자에게 유의한 혈전이 생긴다면 심장뿐만 아니라 눈의 혈관에 혈전이 생겨 백신으로 인한 망막혈관폐쇄증이 발생할 수 있다 .	O O SYMP-B O O O O O O O O SYMP-B O O O O O SYMP-B O O O DIS-B O O O O
백신을 맞고 생리 주기가 바뀌거나 모유 색이 변하는 등 각종 부작용 경험담이 인터넷을 통해 퍼지자 20~30대 사이에서는 접종을 미루거나 2차 접종은 하지 않겠다는 분위기가 돌고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
코로나19 백신 접종이 빠르게 진행되면서 접종자 수가 1100만 명을 넘어섰다 .	O O O O O O O O O O O
이어 “피검사 상 정상인데 심근염 심낭염 증상을 호소하는 경우도 있다”며 “실제 신고되지 않은 건수는 훨씬 더 많을 것”이라고 예상했다 .	O O O O DIS-B DIS-B O O O O O O O O O O O O O O
“저는 한순간에 집안의 가장이 됐습니다.” 지난 9월 대학생 진모(26)씨의 아버지는 코로나19 백신 1차 접종 후 가슴 통증을 호소하다 2주 만에 사망했다 .	O O O O O O O O O O O O O O O SYMP-B SYMP-I O O O DIS-B O
다만 여성들이 실제로 겪는 월경의 부작용을 별문제 아닌 것처럼 취급하고 인정하지 않으려는 당국의 태도에 동의할 수 없는 것”이라고 했다 .	O O O O SYMP-B SYMP-I O O O O O O O O O O O O O O
나머지 5%는 사망과 아나필락시스 등 중대 이상반응 신고사례였다 .	O O DIS-B DIS-B O O O O O
또 부산에서도 백신 부작용으로 인한 현직 간호사 딸의 가슴 아픈 사연이 올라왔다 .	O O O O O O O O O O O O O
